hospital,Q1_total number of tested patients,Q1_total number of specimens,Q1_total number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients _S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients _E. coli,Q1_isolation rate_E. coli,Q1_number of patients _K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients _P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients _MRSA,Q1_isolation rate_MRSA,Q1_number of patients _PRSP,Q1_isolation rate_PRSP,Q1_number of patients _CRP,Q1_isolation rate_CRP,Q1_number of patients _3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients _3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q1_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q1_isolation rate_MRSA,Q2_number of patients_PRSP,Q1_isolation rate_PRSP,Q2_number of patients_CRP,Q1_isolation rate_CRP,Q2_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q3_total number of testes patients,Q3_total number of isolation,Q3_total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
232,243,506,37,0.1523,2,0.0082,47,0.1934,15,0.0617,10,0.0412,24,0.0988,1,0.0041,0,0,1,0.0041,14,0.0576,241,570,416,37,0.1535,0,0,32,0.1328,10,0.0415,15,0.0622,24,0.0996,0,0,0,0,1,0.0041,5,0.0207,284,619,551,38,0.1338,6,0.0211,37,0.1303,24,0.0845,18,0.0634,24,0.0845,1,0.0035,0,0,1,0.0035,9,0.0317
233,691,2055,108,0.1563,10,0.0145,55,0.0796,48,0.0695,35,0.0507,41,0.0593,0,0,4,0.0058,0,0,13,0.0188,750,2101,1186,102,0.136,9,0.012,62,0.0827,37,0.0493,30,0.04,33,0.044,0,0,7,0.0093,2,0.0027,16,0.0213,731,1904,1092,95,0.13,10,0.0137,68,0.093,39,0.0534,39,0.0534,28,0.0383,0,0,6,0.0082,1,0.0014,19,0.026
234,182,397,35,0.1923,2,0.011,44,0.2418,22,0.1209,35,0.1923,24,0.1319,1,0.0055,5,0.0275,0,0,25,0.1374,178,413,495,32,0.1798,3,0.0169,42,0.236,20,0.1124,35,0.1966,18,0.1011,2,0.0112,4,0.0225,0,0,24,0.1348,190,419,511,49,0.2579,2,0.0105,39,0.2053,19,0.1,33,0.1737,27,0.1421,2,0.0105,3,0.0158,0,0,21,0.1105
235,683,1889,73,0.1069,8,0.0117,98,0.1435,46,0.0673,28,0.041,36,0.0527,1,0.0015,3,0.0044,7,0.0102,24,0.0351,659,1724,557,70,0.1062,14,0.0212,77,0.1168,35,0.0531,17,0.0258,25,0.0379,10,0.0152,1,0.0015,7,0.0106,22,0.0334,680,1750,629,70,0.1029,17,0.025,65,0.0956,35,0.0515,26,0.0382,33,0.0485,7,0.0103,1,0.0015,7,0.0103,18,0.0265
236,796,1856,96,0.1206,7,0.0088,96,0.1206,33,0.0415,27,0.0339,38,0.0477,1,0.0013,2,0.0025,0,0,7,0.0088,818,1871,1268,79,0.0966,4,0.0049,80,0.0978,39,0.0477,29,0.0355,30,0.0367,0,0,2,0.0024,0,0,12,0.0147,809,1990,1413,93,0.115,5,0.0062,79,0.0977,52,0.0643,30,0.0371,35,0.0433,0,0,1,0.0012,1,0.0012,7,0.0087
237,499,1097,103,0.2064,3,0.006,90,0.1804,41,0.0822,27,0.0541,55,0.1102,1,0.002,3,0.006,1,0.002,22,0.0441,457,1052,743,85,0.186,2,0.0044,77,0.1685,31,0.0678,21,0.046,37,0.081,2,0.0044,2,0.0044,1,0.0022,23,0.0503,486,1122,835,92,0.1893,5,0.0103,79,0.1626,54,0.1111,40,0.0823,39,0.0802,3,0.0062,3,0.0062,3,0.0062,23,0.0473
238,387,1073,39,0.1008,21,0.0543,89,0.23,18,0.0465,60,0.155,29,0.0749,6,0.0155,27,0.0698,0,0,32,0.0827,364,941,1122,42,0.1154,24,0.0659,65,0.1786,16,0.044,49,0.1346,28,0.0769,7,0.0192,15,0.0412,1,0.0027,14,0.0385,361,940,1121,38,0.1053,16,0.0443,74,0.205,22,0.0609,57,0.1579,15,0.0416,4,0.0111,16,0.0443,3,0.0083,23,0.0637
239,687,2902,83,0.1208,2,0.0029,102,0.1485,35,0.0509,31,0.0451,45,0.0655,1,0.0015,4,0.0058,1,0.0015,23,0.0335,746,3026,1322,109,0.1461,4,0.0054,117,0.1568,43,0.0576,33,0.0442,57,0.0764,1,0.0013,2,0.0027,2,0.0027,34,0.0456,684,2570,1233,97,0.1418,8,0.0117,108,0.1579,61,0.0892,28,0.0409,56,0.0819,4,0.0058,7,0.0102,2,0.0029,18,0.0263
240,538,1649,56,0.1041,2,0.0037,73,0.1357,15,0.0279,26,0.0483,26,0.0483,1,0.0019,7,0.013,0,0,18,0.0335,495,1439,872,41,0.0828,1,0.002,73,0.1475,17,0.0343,25,0.0505,23,0.0465,0,0,7,0.0141,0,0,18,0.0364,507,1504,935,34,0.0671,0,0,63,0.1243,28,0.0552,21,0.0414,20,0.0394,0,0,5,0.0099,0,0,11,0.0217
241,595,1400,88,0.1479,7,0.0118,92,0.1546,57,0.0958,21,0.0353,56,0.0941,3,0.005,3,0.005,5,0.0084,31,0.0521,602,1404,946,99,0.1645,14,0.0233,98,0.1628,47,0.0781,31,0.0515,72,0.1196,2,0.0033,1,0.0017,3,0.005,32,0.0532,605,1533,1138,67,0.1107,3,0.005,128,0.2116,83,0.1372,40,0.0661,50,0.0826,1,0.0017,0,0,3,0.005,38,0.0628
242,1295,4058,135,0.1042,29,0.0224,187,0.1444,60,0.0463,63,0.0486,63,0.0486,9,0.0069,4,0.0031,1,0.0008,37,0.0286,1275,3835,3509,159,0.1247,37,0.029,175,0.1373,67,0.0525,62,0.0486,61,0.0478,15,0.0118,12,0.0094,5,0.0039,32,0.0251,1203,3745,3438,147,0.1222,23,0.0191,179,0.1488,67,0.0557,75,0.0623,57,0.0474,9,0.0075,9,0.0075,3,0.0025,37,0.0308
243,946,2702,116,0.1226,6,0.0063,157,0.166,42,0.0444,33,0.0349,56,0.0592,4,0.0042,0,0,4,0.0042,17,0.018,811,2405,1637,85,0.1048,8,0.0099,150,0.185,57,0.0703,24,0.0296,36,0.0444,3,0.0037,0,0,18,0.0222,16,0.0197,755,2362,1608,99,0.1311,8,0.0106,116,0.1536,40,0.053,32,0.0424,41,0.0543,2,0.0026,1,0.0013,7,0.0093,15,0.0199
244,146,386,16,0.1096,0,0,16,0.1096,10,0.0685,5,0.0342,7,0.0479,0,0,0,0,1,0.0068,4,0.0274,153,371,148,20,0.1307,0,0,18,0.1176,10,0.0654,3,0.0196,15,0.098,0,0,0,0,1,0.0065,6,0.0392,143,363,135,14,0.0979,0,0,22,0.1538,11,0.0769,6,0.042,9,0.0629,0,0,3,0.021,2,0.014,3,0.021
245,136,270,17,0.125,5,0.0368,24,0.1765,10,0.0735,11,0.0809,13,0.0956,4,0.0294,1,0.0074,2,0.0147,7,0.0515,135,300,298,19,0.1407,3,0.0222,24,0.1778,21,0.1556,6,0.0444,12,0.0889,1,0.0074,1,0.0074,0,0,8,0.0593,153,347,447,25,0.1634,1,0.0065,28,0.183,28,0.183,7,0.0458,19,0.1242,0,0,0,0,0,0,3,0.0196
246,763,2010,105,0.1376,12,0.0157,133,0.1743,19,0.0249,17,0.0223,38,0.0498,5,0.0066,1,0.0013,2,0.0026,12,0.0157,735,1932,972,88,0.1197,15,0.0204,121,0.1646,17,0.0231,17,0.0231,32,0.0435,4,0.0054,1,0.0014,0,0,9,0.0122,678,1877,936,92,0.1357,8,0.0118,125,0.1844,14,0.0206,25,0.0369,41,0.0605,2,0.0029,0,0,0,0,6,0.0088
247,231,732,43,0.1861,0,0,52,0.2251,46,0.1991,17,0.0736,24,0.1039,0,0,1,0.0043,13,0.0563,11,0.0476,232,698,510,44,0.1897,1,0.0043,59,0.2543,55,0.2371,23,0.0991,25,0.1078,0,0,2,0.0086,28,0.1207,11,0.0474,244,733,526,33,0.1352,0,0,52,0.2131,58,0.2377,27,0.1107,21,0.0861,0,0,2,0.0082,37,0.1516,16,0.0656
248,450,1253,18,0.04,3,0.0067,63,0.14,17,0.0378,14,0.0311,18,0.04,1,0.0022,3,0.0067,5,0.0111,25,0.0556,441,1198,662,31,0.0703,7,0.0159,77,0.1746,11,0.0249,20,0.0454,31,0.0703,4,0.0091,1,0.0023,0,0,27,0.0612,423,1140,707,29,0.0686,1,0.0024,72,0.1702,22,0.052,27,0.0638,29,0.0686,1,0.0024,1,0.0024,0,0,23,0.0544
249,343,749,33,0.0962,4,0.0117,52,0.1516,18,0.0525,18,0.0525,17,0.0496,0,0,0,0,2,0.0058,10,0.0292,413,943,432,37,0.0896,5,0.0121,62,0.1501,10,0.0242,11,0.0266,18,0.0436,0,0,0,0,0,0,11,0.0266,391,918,410,43,0.11,2,0.0051,56,0.1432,28,0.0716,14,0.0358,15,0.0384,0,0,0,0,1,0.0026,14,0.0358
250,200,337,24,0.12,0,0,30,0.15,2,0.01,18,0.09,16,0.08,0,0,0,0,0,0,11,0.055,184,358,196,25,0.1359,2,0.0109,23,0.125,12,0.0652,12,0.0652,16,0.087,0,0,0,0,2,0.0109,7,0.038,199,363,240,26,0.1307,0,0,30,0.1508,19,0.0955,12,0.0603,14,0.0704,0,0,0,0,0,0,12,0.0603
251,146,283,29,0.1986,3,0.0205,34,0.2329,24,0.1644,11,0.0753,16,0.1096,0,0,0,0,1,0.0068,8,0.0548,144,301,430,24,0.1667,2,0.0139,31,0.2153,22,0.1528,11,0.0764,10,0.0694,0,0,1,0.0069,3,0.0208,11,0.0764,142,281,495,28,0.1972,2,0.0141,38,0.2676,33,0.2324,11,0.0775,16,0.1127,0,0,1,0.007,1,0.007,14,0.0986
252,616,2490,58,0.0942,7,0.0114,55,0.0893,22,0.0357,26,0.0422,39,0.0633,1,0.0016,1,0.0016,0,0,13,0.0211,598,2427,659,59,0.0987,2,0.0033,65,0.1087,18,0.0301,7,0.0117,35,0.0585,1,0.0017,0,0,1,0.0017,17,0.0284,519,1541,509,44,0.0848,2,0.0039,31,0.0597,27,0.052,22,0.0424,25,0.0482,2,0.0039,0,0,0,0,10,0.0193
253,422,959,38,0.09,3,0.0071,25,0.0592,8,0.019,9,0.0213,20,0.0474,2,0.0047,0,0,0,0,4,0.0095,413,919,250,30,0.0726,0,0,34,0.0823,16,0.0387,14,0.0339,20,0.0484,0,0,0,0,1,0.0024,6,0.0145,411,947,296,39,0.0949,2,0.0049,47,0.1144,12,0.0292,14,0.0341,13,0.0316,0,0,0,0,1,0.0024,3,0.0073
254,453,1303,50,0.1104,9,0.0199,59,0.1302,24,0.053,17,0.0375,22,0.0486,3,0.0066,3,0.0066,1,0.0022,16,0.0353,438,1139,614,50,0.1142,6,0.0137,41,0.0936,21,0.0479,8,0.0183,20,0.0457,1,0.0023,1,0.0023,5,0.0114,16,0.0365,510,1397,746,50,0.098,4,0.0078,49,0.0961,27,0.0529,17,0.0333,23,0.0451,1,0.002,1,0.002,1,0.002,12,0.0235
255,330,665,31,0.0939,1,0.003,39,0.1182,18,0.0545,17,0.0515,13,0.0394,0,0,0,0,1,0.003,3,0.0091,316,642,313,31,0.0981,1,0.0032,25,0.0791,17,0.0538,14,0.0443,17,0.0538,0,0,1,0.0032,0,0,8,0.0253,366,740,373,38,0.1038,1,0.0027,42,0.1148,24,0.0656,20,0.0546,19,0.0519,0,0,1,0.0027,2,0.0055,8,0.0219
256,344,804,27,0.0785,3,0.0087,38,0.1105,13,0.0378,8,0.0233,15,0.0436,0,0,0,0,0,0,9,0.0262,363,837,327,36,0.0992,5,0.0138,44,0.1212,5,0.0138,18,0.0496,24,0.0661,0,0,2,0.0055,0,0,6,0.0165,343,748,264,23,0.0671,3,0.0087,40,0.1166,10,0.0292,9,0.0262,9,0.0262,0,0,0,0,0,0,11,0.0321
257,1207,4757,119,0.0986,12,0.0099,131,0.1085,34,0.0282,67,0.0555,69,0.0572,3,0.0025,17,0.0141,8,0.0066,49,0.0406,1357,4814,1791,122,0.0899,5,0.0037,119,0.0877,23,0.0169,62,0.0457,57,0.042,2,0.0015,14,0.0103,5,0.0037,32,0.0236,1358,5241,1917,116,0.0854,5,0.0037,139,0.1024,38,0.028,76,0.056,53,0.039,3,0.0022,18,0.0133,11,0.0081,58,0.0427
258,1280,4028,133,0.1039,11,0.0086,68,0.0531,33,0.0258,40,0.0313,57,0.0445,4,0.0031,3,0.0023,3,0.0023,11,0.0086,1251,4031,1185,132,0.1055,12,0.0096,73,0.0584,19,0.0152,32,0.0256,54,0.0432,2,0.0016,4,0.0032,2,0.0016,23,0.0184,1284,4049,1198,145,0.1129,1,0.0008,73,0.0569,20,0.0156,43,0.0335,54,0.0421,1,0.0008,4,0.0031,3,0.0023,21,0.0164
259,744,2054,48,0.0645,12,0.0161,61,0.082,38,0.0511,35,0.047,27,0.0363,7,0.0094,5,0.0067,3,0.004,9,0.0121,734,1907,660,36,0.049,12,0.0163,66,0.0899,40,0.0545,22,0.03,16,0.0218,6,0.0082,7,0.0095,4,0.0054,9,0.0123,834,2283,687,57,0.0683,8,0.0096,83,0.0995,45,0.054,29,0.0348,32,0.0384,3,0.0036,3,0.0036,1,0.0012,11,0.0132
260,293,1032,40,0.1365,2,0.0068,49,0.1672,16,0.0546,25,0.0853,26,0.0887,0,0,0,0,0,0,0,0,277,822,615,50,0.1805,0,0,56,0.2022,18,0.065,30,0.1083,34,0.1227,0,0,0,0,0,0,0,0,297,936,699,48,0.1616,1,0.0034,54,0.1818,21,0.0707,32,0.1077,34,0.1145,0,0,0,0,0,0,0,0
261,414,1047,35,0.0845,4,0.0097,50,0.1208,19,0.0459,16,0.0386,20,0.0483,2,0.0048,0,0,1,0.0024,15,0.0362,416,1029,247,22,0.0529,2,0.0048,37,0.0889,21,0.0505,12,0.0288,14,0.0337,2,0.0048,0,0,0,0,9,0.0216,453,1144,346,30,0.0662,2,0.0044,51,0.1126,27,0.0596,19,0.0419,18,0.0397,1,0.0022,2,0.0044,6,0.0132,13,0.0287
262,368,904,42,0.1141,1,0.0027,35,0.0951,19,0.0516,16,0.0435,16,0.0435,1,0.0027,2,0.0054,1,0.0027,8,0.0217,411,1006,494,51,0.1241,5,0.0122,46,0.1119,26,0.0633,18,0.0438,23,0.056,4,0.0097,0,0,0,0,17,0.0414,387,1103,566,48,0.124,4,0.0103,53,0.137,24,0.062,18,0.0465,27,0.0698,1,0.0026,3,0.0078,2,0.0052,15,0.0388
263,1273,4783,170,0.1335,1,0.0008,126,0.099,63,0.0495,69,0.0542,82,0.0644,0,0,10,0.0079,11,0.0086,33,0.0259,1256,4595,1383,158,0.1258,5,0.004,117,0.0932,49,0.039,50,0.0398,84,0.0669,3,0.0024,3,0.0024,4,0.0032,27,0.0215,1282,4683,1611,171,0.1334,4,0.0031,119,0.0928,78,0.0608,68,0.053,73,0.0569,3,0.0023,11,0.0086,12,0.0094,36,0.0281
264,285,665,66,0.2316,2,0.007,39,0.1368,26,0.0912,55,0.193,62,0.2175,0,0,13,0.0456,14,0.0491,28,0.0982,264,603,296,57,0.2159,6,0.0227,28,0.1061,18,0.0682,60,0.2273,56,0.2121,1,0.0038,15,0.0568,9,0.0341,19,0.072,267,646,392,57,0.2135,2,0.0075,37,0.1386,19,0.0712,69,0.2584,57,0.2135,0,0,16,0.0599,11,0.0412,24,0.0899
265,268,506,37,0.1381,10,0.0373,49,0.1828,13,0.0485,9,0.0336,18,0.0672,0,0,0,0,1,0.0037,12,0.0448,277,522,447,45,0.1625,11,0.0397,44,0.1588,14,0.0505,11,0.0397,25,0.0903,0,0,0,0,1,0.0036,10,0.0361,245,464,380,37,0.151,6,0.0245,51,0.2082,15,0.0612,11,0.0449,23,0.0939,0,0,1,0.0041,2,0.0082,11,0.0449
266,365,954,21,0.0575,2,0.0055,46,0.126,20,0.0548,18,0.0493,10,0.0274,2,0.0055,0,0,0,0,7,0.0192,332,748,259,22,0.0663,4,0.012,37,0.1114,17,0.0512,3,0.009,11,0.0331,2,0.006,0,0,1,0.003,7,0.0211,353,881,390,23,0.0652,0,0,41,0.1161,31,0.0878,18,0.051,3,0.0085,0,0,0,0,1,0.0028,8,0.0227
267,870,3117,85,0.0977,7,0.008,123,0.1414,33,0.0379,30,0.0345,29,0.0333,1,0.0011,2,0.0023,0,0,24,0.0276,809,2822,862,81,0.1001,8,0.0099,98,0.1211,21,0.026,19,0.0235,35,0.0433,1,0.0012,0,0,0,0,27,0.0334,838,2982,1048,82,0.0979,11,0.0131,97,0.1158,47,0.0561,30,0.0358,35,0.0418,3,0.0036,2,0.0024,0,0,29,0.0346
268,937,2675,95,0.1014,7,0.0075,128,0.1366,47,0.0502,40,0.0427,41,0.0438,0,0,1,0.0011,2,0.0021,39,0.0416,921,2622,1157,86,0.0934,8,0.0087,111,0.1205,39,0.0423,36,0.0391,29,0.0315,5,0.0054,2,0.0022,2,0.0022,27,0.0293,969,2812,1137,88,0.0908,2,0.0021,120,0.1238,49,0.0506,40,0.0413,38,0.0392,1,0.001,0,0,2,0.0021,27,0.0279
269,462,1816,52,0.1126,5,0.0108,53,0.1147,27,0.0584,32,0.0693,29,0.0628,0,0,3,0.0065,5,0.0108,20,0.0433,565,2207,1360,45,0.0796,10,0.0177,81,0.1434,25,0.0442,36,0.0637,22,0.0389,0,0,1,0.0018,3,0.0053,29,0.0513,465,1678,1123,56,0.1204,1,0.0022,70,0.1505,53,0.114,38,0.0817,26,0.0559,0,0,3,0.0065,5,0.0108,28,0.0602
270,1509,5072,86,0.057,6,0.004,84,0.0557,46,0.0305,62,0.0411,61,0.0404,0,0,17,0.0113,12,0.008,25,0.0166,2151,5879,741,88,0.0409,6,0.0028,89,0.0414,33,0.0153,58,0.027,57,0.0265,0,0,16,0.0074,5,0.0023,25,0.0116,1851,5293,1343,111,0.06,14,0.0076,107,0.0578,38,0.0205,79,0.0427,76,0.0411,1,0.0005,19,0.0103,6,0.0032,30,0.0162
271,777,2246,100,0.1287,46,0.0592,39,0.0502,26,0.0335,35,0.045,50,0.0644,0,0,2,0.0026,1,0.0013,9,0.0116,718,2029,966,105,0.1462,42,0.0585,53,0.0738,37,0.0515,37,0.0515,47,0.0655,0,0,1,0.0014,2,0.0028,15,0.0209,732,2108,1168,100,0.1366,44,0.0601,45,0.0615,25,0.0342,66,0.0902,45,0.0615,0,0,4,0.0055,1,0.0014,15,0.0205
272,1436,5003,254,0.1769,30,0.0209,217,0.1511,108,0.0752,107,0.0745,108,0.0752,19,0.0132,12,0.0084,13,0.0091,59,0.0411,1467,4939,3863,220,0.15,19,0.013,220,0.15,99,0.0675,89,0.0607,98,0.0668,10,0.0068,12,0.0082,15,0.0102,63,0.0429,1558,5162,4078,255,0.1637,31,0.0199,249,0.1598,119,0.0764,94,0.0603,88,0.0565,16,0.0103,15,0.0096,17,0.0109,62,0.0398
273,858,2727,118,0.1375,7,0.0082,76,0.0886,44,0.0513,53,0.0618,54,0.0629,2,0.0023,6,0.007,1,0.0012,14,0.0163,876,2756,1254,105,0.1199,11,0.0126,86,0.0982,38,0.0434,45,0.0514,33,0.0377,4,0.0046,5,0.0057,2,0.0023,23,0.0263,971,3049,1588,123,0.1267,1,0.001,109,0.1123,56,0.0577,70,0.0721,49,0.0505,0,0,7,0.0072,4,0.0041,30,0.0309
274,416,813,49,0.1178,4,0.0096,54,0.1298,7,0.0168,11,0.0264,22,0.0529,0,0,0,0,0,0,12,0.0288,439,839,732,56,0.1276,1,0.0023,57,0.1298,14,0.0319,10,0.0228,24,0.0547,0,0,1,0.0023,2,0.0046,19,0.0433,479,955,826,55,0.1148,3,0.0063,60,0.1253,25,0.0522,27,0.0564,28,0.0585,0,0,7,0.0146,2,0.0042,10,0.0209
275,645,1295,58,0.0899,5,0.0078,45,0.0698,36,0.0558,73,0.1132,55,0.0853,3,0.0047,11,0.0171,14,0.0217,18,0.0279,681,1422,512,70,0.1028,3,0.0044,52,0.0764,46,0.0675,70,0.1028,60,0.0881,0,0,8,0.0117,22,0.0323,27,0.0396,678,1308,453,61,0.09,7,0.0103,48,0.0708,33,0.0487,68,0.1003,49,0.0723,3,0.0044,10,0.0147,8,0.0118,21,0.031
276,367,805,43,0.1172,14,0.0381,31,0.0845,9,0.0245,19,0.0518,25,0.0681,6,0.0163,2,0.0054,0,0,11,0.03,452,1011,833,50,0.1106,10,0.0221,39,0.0863,12,0.0265,9,0.0199,30,0.0664,7,0.0155,1,0.0022,1,0.0022,11,0.0243,388,869,820,53,0.1366,7,0.018,40,0.1031,21,0.0541,20,0.0515,29,0.0747,4,0.0103,1,0.0026,1,0.0026,9,0.0232
277,439,831,35,0.0797,2,0.0046,11,0.0251,1,0.0023,20,0.0456,33,0.0752,0,0,2,0.0046,0,0,4,0.0091,484,925,212,37,0.0764,2,0.0041,9,0.0186,2,0.0041,22,0.0455,35,0.0723,2,0.0041,2,0.0041,0,0,5,0.0103,457,865,204,31,0.0678,0,0,12,0.0263,10,0.0219,32,0.07,28,0.0613,0,0,8,0.0175,0,0,6,0.0131
278,317,922,42,0.1325,2,0.0063,46,0.1451,25,0.0789,15,0.0473,17,0.0536,1,0.0032,0,0,3,0.0095,8,0.0252,281,876,609,45,0.1601,4,0.0142,56,0.1993,22,0.0783,21,0.0747,15,0.0534,1,0.0036,3,0.0107,0,0,9,0.032,308,973,645,55,0.1786,3,0.0097,48,0.1558,27,0.0877,30,0.0974,26,0.0844,2,0.0065,3,0.0097,4,0.013,16,0.0519
279,1228,3542,135,0.1099,13,0.0106,141,0.1148,49,0.0399,47,0.0383,63,0.0513,5,0.0041,7,0.0057,6,0.0049,49,0.0399,1214,3508,1808,146,0.1203,14,0.0115,142,0.117,61,0.0502,62,0.0511,77,0.0634,4,0.0033,3,0.0025,10,0.0082,43,0.0354,1284,3769,1849,141,0.1098,9,0.007,151,0.1176,77,0.06,63,0.0491,65,0.0506,3,0.0023,0,0,10,0.0078,34,0.0265
280,843,2186,95,0.1127,11,0.013,137,0.1625,41,0.0486,52,0.0617,44,0.0522,0,0,4,0.0047,5,0.0059,34,0.0403,824,1991,1357,89,0.108,11,0.0133,161,0.1954,39,0.0473,39,0.0473,37,0.0449,1,0.0012,3,0.0036,3,0.0036,34,0.0413,849,2169,1506,92,0.1084,6,0.0071,157,0.1849,63,0.0742,37,0.0436,39,0.0459,1,0.0012,7,0.0082,7,0.0082,33,0.0389
281,1247,4538,158,0.1267,6,0.0048,185,0.1484,75,0.0601,65,0.0521,58,0.0465,4,0.0032,4,0.0032,7,0.0056,51,0.0409,1186,4062,2044,163,0.1374,12,0.0101,184,0.1551,69,0.0582,64,0.054,62,0.0523,6,0.0051,3,0.0025,9,0.0076,48,0.0405,1091,3992,1723,145,0.1329,4,0.0037,156,0.143,73,0.0669,64,0.0587,55,0.0504,1,0.0009,2,0.0018,12,0.011,44,0.0403
282,661,2362,89,0.1346,6,0.0091,75,0.1135,42,0.0635,25,0.0378,39,0.059,3,0.0045,5,0.0076,5,0.0076,9,0.0136,671,2267,1019,86,0.1282,4,0.006,80,0.1192,30,0.0447,27,0.0402,39,0.0581,1,0.0015,2,0.003,7,0.0104,12,0.0179,706,2638,1431,75,0.1062,3,0.0042,75,0.1062,48,0.068,34,0.0482,33,0.0467,0,0,1,0.0014,19,0.0269,18,0.0255
283,1014,2790,78,0.0769,9,0.0089,72,0.071,42,0.0414,30,0.0296,43,0.0424,5,0.0049,3,0.003,5,0.0049,14,0.0138,1141,3323,952,96,0.0841,5,0.0044,65,0.057,35,0.0307,35,0.0307,49,0.0429,1,0.0009,5,0.0044,7,0.0061,24,0.021,1140,3441,976,105,0.0921,3,0.0026,69,0.0605,45,0.0395,27,0.0237,54,0.0474,1,0.0009,2,0.0018,3,0.0026,20,0.0175
284,371,721,15,0.0404,0,0,33,0.0889,18,0.0485,18,0.0485,9,0.0243,0,0,0,0,2,0.0054,11,0.0296,346,637,257,23,0.0665,1,0.0029,39,0.1127,14,0.0405,10,0.0289,14,0.0405,0,0,1,0.0029,0,0,17,0.0491,379,728,311,21,0.0554,1,0.0026,45,0.1187,16,0.0422,28,0.0739,17,0.0449,0,0,4,0.0106,1,0.0026,20,0.0528
285,508,1698,72,0.1417,12,0.0236,68,0.1339,49,0.0965,25,0.0492,25,0.0492,7,0.0138,1,0.002,3,0.0059,12,0.0236,478,1601,1078,80,0.1674,10,0.0209,79,0.1653,35,0.0732,24,0.0502,37,0.0774,4,0.0084,3,0.0063,0,0,7,0.0146,504,1565,984,74,0.1468,3,0.006,58,0.1151,41,0.0813,16,0.0317,33,0.0655,1,0.002,1,0.002,1,0.002,4,0.0079
286,311,798,28,0.09,0,0,28,0.09,19,0.0611,11,0.0354,9,0.0289,0,0,1,0.0032,0,0,10,0.0322,243,617,270,20,0.0823,3,0.0123,32,0.1317,10,0.0412,12,0.0494,7,0.0288,3,0.0123,0,0,1,0.0041,14,0.0576,295,783,354,19,0.0644,0,0,43,0.1458,27,0.0915,17,0.0576,6,0.0203,0,0,0,0,1,0.0034,11,0.0373
287,391,715,95,0.243,2,0.0051,64,0.1637,30,0.0767,44,0.1125,83,0.2123,2,0.0051,10,0.0256,13,0.0332,33,0.0844,442,765,763,108,0.2443,2,0.0045,63,0.1425,35,0.0792,32,0.0724,94,0.2127,0,0,4,0.009,13,0.0294,34,0.0769,421,747,670,96,0.228,1,0.0024,48,0.114,26,0.0618,35,0.0831,84,0.1995,1,0.0024,13,0.0309,8,0.019,22,0.0523
288,1171,4046,199,0.1699,10,0.0085,129,0.1102,57,0.0487,75,0.064,99,0.0845,4,0.0034,11,0.0094,6,0.0051,26,0.0222,1143,3804,1990,179,0.1566,5,0.0044,116,0.1015,47,0.0411,55,0.0481,96,0.084,1,0.0009,7,0.0061,0,0,31,0.0271,1214,3989,2287,193,0.159,5,0.0041,143,0.1178,91,0.075,62,0.0511,108,0.089,2,0.0016,9,0.0074,8,0.0066,39,0.0321
289,620,1736,106,0.171,5,0.0081,57,0.0919,42,0.0677,26,0.0419,54,0.0871,3,0.0048,3,0.0048,12,0.0194,11,0.0177,1170,2634,1366,102,0.0872,13,0.0111,81,0.0692,29,0.0248,25,0.0214,64,0.0547,6,0.0051,5,0.0043,5,0.0043,17,0.0145,1847,3808,1312,120,0.065,3,0.0016,83,0.0449,50,0.0271,41,0.0222,76,0.0411,1,0.0005,1,0.0005,6,0.0032,16,0.0087
