hospital,Q1_total number of tested patients,Q1_total number of specimes,Q1_number of patients_S. aureus,Q1_isolation rate_S. aureus,Q1_number of patients_S. pneumoniae,Q1_isolation rate_S. pneumoniae,Q1_number of patients_E. coli,Q1_isolation rate_E. coli,Q1_number of patients_K. pneumoniae,Q1_isolation rate_K. pneumoniae,Q1_number of patients_P. aeruginosa,Q1_isolation rate_P. aeruginosa,Q1_number of patients_MRSA,Q1_isolation rate_MRSA,Q1_number of patients_PRSP,Q1_isolation rate_PRSP,Q1_number of patients_CRP,Q1_isolation rate_CRP,Q1_number of patients_3GCRKP,Q1_isolation rate_3GCRKP,Q1_number of patients_3GCREC,Q1_isolation rate_3GCREC,Q2_total number of tested patients,Q2_total number of specimens,Q2_total number of isolation,Q2_number of patients_S. aureus,Q2_isolation rate_S. aureus,Q2_number of patients_S. pneumoniae,Q2_isolation rate_S. pneumoniae,Q2_number of patients_E. coli,Q2_isolation rate_E. coli,Q2_number of patients_K. pneumoniae,Q2_isolation rate_K. pneumoniae,Q2_number of patients_P. aeruginosa,Q2_isolation rate_P. aeruginosa,Q2_number of patients_MRSA,Q2_isolation rate_MRSA,Q2_number of patients_PRSP,Q2_isolation rate_PRSP,Q2_number of patients_CRP,Q2_isolation rate_CRP,Q2_number of patients_3GCRKP,Q2_isolation rate_3GCRKP,Q2_number of patients_3GCREC,Q2_isolation rate_3GCREC,Q3_total number of tested patients,total number of specimes,total number of isolation,Q3_number of patients_S. aureus,Q3_isolation rate_S. aureus,Q3_number of patients_S. pneumoniae,Q3_isolation rate_S. pneumoniae,Q3_number of patients_E. coli,Q3_isolation rate_E. coli,Q3_number of patients_K. pneumoniae,Q3_isolation rate_K. pneumoniae,Q3_number of patients_P. aeruginosa,Q3_isolation rate_P. aeruginosa,Q3_number of patients_MRSA,Q3_isolation rate_MRSA,Q3_number of patients_PRSP,Q3_isolation rate_PRSP,Q3_number of patients_CRP,Q3_isolation rate_CRP,Q3_number of patients_3GCRKP,Q3_isolation rate_3GCRKP,Q3_number of patients_3GCREC,Q3_isolation rate_3GCREC
235,635,2446,83,0.1307,2,0.0031,103,0.1622,35,0.0551,26,0.0409,41,0.0646,1,0.0016,2,0.0031,0,0,21,0.0331,574,2371,1064,84,0.1463,2,0.0035,84,0.1463,37,0.0645,19,0.0331,45,0.0784,2,0.0035,0,0,0,0,19,0.0331,440,1032,735,90,0.2045,4,0.0091,71,0.1614,28,0.0636,29,0.0659,43,0.0977,3,0.0068,0,0,2,0.0045,16,0.0364
236,539,1280,65,0.1206,12,0.0223,78,0.1447,49,0.0909,29,0.0538,45,0.0835,4,0.0074,3,0.0056,1,0.0019,31,0.0575,478,1113,853,68,0.1423,3,0.0063,73,0.1527,49,0.1025,30,0.0628,52,0.1088,0,0,2,0.0042,3,0.0063,34,0.0711,319,958,1367,62,0.1944,3,0.0094,102,0.3197,31,0.0972,81,0.2539,32,0.1003,0,0,17,0.0533,0,0,16,0.0502
237,1176,3890,170,0.1446,21,0.0179,161,0.1369,57,0.0485,59,0.0502,82,0.0697,9,0.0077,5,0.0043,3,0.0026,37,0.0315,1069,3613,3407,122,0.1141,11,0.0103,180,0.1684,61,0.0571,65,0.0608,60,0.0561,3,0.0028,6,0.0056,2,0.0019,38,0.0355,663,2673,1174,84,0.1267,2,0.003,94,0.1418,55,0.083,45,0.0679,41,0.0618,0,0,2,0.003,0,0,26,0.0392
238,784,2312,110,0.1403,3,0.0038,149,0.1901,45,0.0574,41,0.0523,45,0.0574,1,0.0013,7,0.0089,3,0.0038,19,0.0242,632,1906,1284,98,0.1551,1,0.0016,102,0.1614,34,0.0538,26,0.0411,44,0.0696,0,0,7,0.0111,1,0.0016,12,0.019,471,1411,975,38,0.0807,0,0,79,0.1677,31,0.0658,22,0.0467,25,0.0531,0,0,5,0.0106,2,0.0042,17,0.0361
239,120,297,13,0.1083,1,0.0083,11,0.0917,13,0.1083,4,0.0333,10,0.0833,0,0,0,0,2,0.0167,5,0.0417,114,332,135,7,0.0614,0,0,18,0.1579,10,0.0877,6,0.0526,5,0.0439,0,0,1,0.0088,0,0,6,0.0526,525,1220,987,89,0.1695,5,0.0095,87,0.1657,81,0.1543,39,0.0743,62,0.1181,2,0.0038,4,0.0076,7,0.0133,24,0.0457
240,136,278,14,0.1029,1,0.0074,34,0.25,8,0.0588,9,0.0662,5,0.0368,0,0,0,0,0,0,9,0.0662,129,260,281,16,0.124,1,0.0078,38,0.2946,10,0.0775,4,0.031,12,0.093,1,0.0078,0,0,1,0.0078,13,0.1008,1086,3870,3612,135,0.1243,9,0.0083,201,0.1851,72,0.0663,67,0.0617,61,0.0562,2,0.0018,7,0.0064,2,0.0018,47,0.0433
241,616,1595,85,0.138,9,0.0146,103,0.1672,20,0.0325,12,0.0195,27,0.0438,0,0,3,0.0049,1,0.0016,11,0.0179,525,1510,855,69,0.1314,3,0.0057,86,0.1638,18,0.0343,19,0.0362,20,0.0381,0,0,0,0,0,0,6,0.0114,736,2155,1400,95,0.1291,2,0.0027,133,0.1807,43,0.0584,27,0.0367,37,0.0503,2,0.0027,0,0,4,0.0054,15,0.0204
242,183,519,28,0.153,0,0,46,0.2514,26,0.1421,6,0.0328,13,0.071,0,0,1,0.0055,11,0.0601,8,0.0437,158,414,284,20,0.1266,1,0.0063,39,0.2468,28,0.1772,7,0.0443,8,0.0506,1,0.0063,1,0.0063,18,0.1139,7,0.0443,119,307,126,11,0.0924,1,0.0084,15,0.1261,11,0.0924,1,0.0084,2,0.0168,0,0,0,0,0,0,4,0.0336
243,419,1233,81,0.1933,2,0.0048,61,0.1456,17,0.0406,14,0.0334,20,0.0477,0,0,0,0,2,0.0048,20,0.0477,366,987,547,55,0.1503,3,0.0082,42,0.1148,14,0.0383,19,0.0519,15,0.041,0,0,2,0.0055,1,0.0027,6,0.0164,127,281,264,14,0.1102,0,0,23,0.1811,13,0.1024,11,0.0866,9,0.0709,0,0,1,0.0079,0,0,11,0.0866
244,384,940,50,0.1302,2,0.0052,58,0.151,14,0.0365,19,0.0495,22,0.0573,0,0,0,0,0,0,16,0.0417,391,877,378,42,0.1074,5,0.0128,70,0.179,15,0.0384,12,0.0307,21,0.0537,0,0,0,0,1,0.0026,15,0.0384,569,1532,1028,63,0.1107,5,0.0088,90,0.1582,17,0.0299,22,0.0387,12,0.0211,2,0.0035,0,0,0,0,10,0.0176
245,193,370,30,0.1554,0,0,27,0.1399,11,0.057,10,0.0518,16,0.0829,0,0,0,0,2,0.0104,9,0.0466,148,303,164,21,0.1419,0,0,27,0.1824,7,0.0473,10,0.0676,15,0.1014,0,0,1,0.0068,3,0.0203,8,0.0541,165,452,306,18,0.1091,0,0,33,0.2,37,0.2242,10,0.0606,13,0.0788,0,0,0,0,16,0.097,5,0.0303
246,131,252,25,0.1908,2,0.0153,33,0.2519,22,0.1679,9,0.0687,16,0.1221,0,0,0,0,0,0,5,0.0382,156,383,538,33,0.2115,2,0.0128,47,0.3013,32,0.2051,14,0.0897,21,0.1346,0,0,0,0,1,0.0064,12,0.0769,397,1073,785,44,0.1108,1,0.0025,70,0.1763,30,0.0756,15,0.0378,19,0.0479,0,0,1,0.0025,0,0,16,0.0403
247,573,1733,37,0.0646,1,0.0017,49,0.0855,20,0.0349,23,0.0401,28,0.0489,1,0.0017,2,0.0035,2,0.0035,20,0.0349,628,2029,709,64,0.1019,1,0.0016,74,0.1178,32,0.051,25,0.0398,42,0.0669,1,0.0016,0,0,2,0.0032,24,0.0382,412,991,403,35,0.085,1,0.0024,54,0.1311,15,0.0364,16,0.0388,12,0.0291,0,0,0,0,0,0,11,0.0267
248,385,896,32,0.0831,0,0,38,0.0987,18,0.0468,8,0.0208,18,0.0468,0,0,1,0.0026,5,0.013,16,0.0416,337,745,201,25,0.0742,0,0,30,0.089,9,0.0267,9,0.0267,11,0.0326,0,0,2,0.0059,2,0.0059,8,0.0237,146,278,160,15,0.1027,0,0,18,0.1233,14,0.0959,16,0.1096,11,0.0753,0,0,2,0.0137,2,0.0137,9,0.0616
249,487,1322,39,0.0801,2,0.0041,55,0.1129,30,0.0616,14,0.0287,8,0.0164,0,0,2,0.0041,5,0.0103,11,0.0226,472,1392,611,36,0.0763,0,0,48,0.1017,20,0.0424,11,0.0233,15,0.0318,0,0,0,0,4,0.0085,14,0.0297,195,493,663,46,0.2359,0,0,55,0.2821,50,0.2564,15,0.0769,22,0.1128,0,0,0,0,4,0.0205,10,0.0513
250,369,763,22,0.0596,1,0.0027,39,0.1057,12,0.0325,17,0.0461,9,0.0244,0,0,0,0,1,0.0027,12,0.0325,349,786,374,34,0.0974,0,0,41,0.1175,16,0.0458,13,0.0372,16,0.0458,0,0,0,0,1,0.0029,10,0.0287,573,1794,694,70,0.1222,1,0.0017,50,0.0873,22,0.0384,25,0.0436,40,0.0698,0,0,0,0,3,0.0052,16,0.0279
251,342,819,25,0.0731,1,0.0029,47,0.1374,11,0.0322,14,0.0409,13,0.038,0,0,2,0.0058,1,0.0029,13,0.038,294,741,322,27,0.0918,0,0,48,0.1633,13,0.0442,16,0.0544,13,0.0442,0,0,2,0.0068,1,0.0034,10,0.034,365,864,318,33,0.0904,3,0.0082,32,0.0877,27,0.074,21,0.0575,14,0.0384,0,0,4,0.011,4,0.011,4,0.011
252,1342,5100,114,0.0849,3,0.0022,135,0.1006,29,0.0216,54,0.0402,52,0.0387,0,0,7,0.0052,7,0.0052,43,0.032,1358,5121,1527,118,0.0869,1,0.0007,114,0.0839,22,0.0162,53,0.039,64,0.0471,1,0.0007,12,0.0088,2,0.0015,37,0.0272,482,1236,593,44,0.0913,1,0.0021,51,0.1058,31,0.0643,16,0.0332,20,0.0415,0,0,2,0.0041,2,0.0041,8,0.0166
253,1180,3650,115,0.0975,2,0.0017,77,0.0653,20,0.0169,36,0.0305,54,0.0458,1,0.0008,4,0.0034,3,0.0025,14,0.0119,939,3251,1042,93,0.099,3,0.0032,63,0.0671,11,0.0117,27,0.0288,44,0.0469,3,0.0032,3,0.0032,3,0.0032,18,0.0192,380,926,508,41,0.1079,3,0.0079,58,0.1526,23,0.0605,23,0.0605,17,0.0447,0,0,0,0,0,0,16,0.0421
254,743,2033,36,0.0485,7,0.0094,59,0.0794,28,0.0377,26,0.035,16,0.0215,3,0.004,5,0.0067,0,0,20,0.0269,730,2112,604,45,0.0616,3,0.0041,60,0.0822,36,0.0493,17,0.0233,22,0.0301,1,0.0014,1,0.0014,2,0.0027,19,0.026,328,799,359,21,0.064,0,0,49,0.1494,15,0.0457,23,0.0701,14,0.0427,0,0,3,0.0091,1,0.003,10,0.0305
255,292,738,33,0.113,2,0.0068,50,0.1712,20,0.0685,18,0.0616,17,0.0582,0,0,0,0,0,0,0,0,246,692,463,29,0.1179,1,0.0041,47,0.1911,8,0.0325,14,0.0569,21,0.0854,0,0,0,0,0,0,0,0,1510,5731,1816,124,0.0821,2,0.0013,111,0.0735,28,0.0185,79,0.0523,58,0.0384,1,0.0007,18,0.0119,6,0.004,38,0.0252
256,435,1223,22,0.0506,5,0.0115,43,0.0989,15,0.0345,20,0.046,16,0.0368,2,0.0046,2,0.0046,1,0.0023,13,0.0299,441,1173,284,25,0.0567,1,0.0023,47,0.1066,19,0.0431,18,0.0408,9,0.0204,0,0,0,0,2,0.0045,17,0.0385,1112,3898,1186,122,0.1097,3,0.0027,63,0.0567,21,0.0189,39,0.0351,47,0.0423,1,0.0009,2,0.0018,2,0.0018,12,0.0108
257,461,1250,49,0.1063,2,0.0043,55,0.1193,23,0.0499,19,0.0412,23,0.0499,1,0.0022,2,0.0043,1,0.0022,13,0.0282,366,1068,567,45,0.123,0,0,48,0.1311,27,0.0738,16,0.0437,25,0.0683,0,0,1,0.0027,6,0.0164,16,0.0437,820,2121,758,42,0.0512,4,0.0049,74,0.0902,52,0.0634,28,0.0341,18,0.022,3,0.0037,4,0.0049,11,0.0134,19,0.0232
258,1189,4473,140,0.1177,2,0.0017,131,0.1102,46,0.0387,62,0.0521,72,0.0606,1,0.0008,8,0.0067,9,0.0076,36,0.0303,1066,4142,1022,123,0.1154,3,0.0028,108,0.1013,27,0.0253,41,0.0385,41,0.0385,2,0.0019,7,0.0066,4,0.0038,20,0.0188,243,675,430,23,0.0947,0,0,47,0.1934,17,0.07,21,0.0864,13,0.0535,0,0,0,0,0,0,0,0
259,246,520,64,0.2602,1,0.0041,30,0.122,22,0.0894,61,0.248,61,0.248,0,0,13,0.0528,10,0.0407,20,0.0813,241,651,377,55,0.2282,1,0.0041,28,0.1162,20,0.083,64,0.2656,55,0.2282,1,0.0041,21,0.0871,9,0.0373,17,0.0705,468,1288,292,21,0.0449,1,0.0021,55,0.1175,24,0.0513,15,0.0321,12,0.0256,0,0,1,0.0021,2,0.0043,15,0.0321
260,261,514,38,0.1456,4,0.0153,42,0.1609,6,0.023,5,0.0192,22,0.0843,0,0,2,0.0077,0,0,19,0.0728,200,446,297,24,0.12,1,0.005,24,0.12,17,0.085,7,0.035,13,0.065,0,0,1,0.005,3,0.015,4,0.02,367,1009,530,44,0.1199,0,0,47,0.1281,30,0.0817,24,0.0654,24,0.0654,0,0,1,0.0027,3,0.0082,18,0.049
261,306,800,23,0.0752,0,0,46,0.1503,36,0.1176,23,0.0752,6,0.0196,0,0,1,0.0033,0,0,3,0.0098,237,640,503,39,0.1646,2,0.0084,38,0.1603,26,0.1097,12,0.0506,12,0.0506,0,0,0,0,0,0,3,0.0127,1167,4207,1188,131,0.1123,1,0.0009,103,0.0883,57,0.0488,48,0.0411,56,0.048,0,0,4,0.0034,5,0.0043,25,0.0214
262,764,2826,66,0.0864,5,0.0065,80,0.1047,26,0.034,26,0.034,30,0.0393,3,0.0039,0,0,0,0,17,0.0223,744,2765,919,70,0.0941,3,0.004,105,0.1411,35,0.047,39,0.0524,27,0.0363,2,0.0027,1,0.0013,0,0,20,0.0269,229,567,398,60,0.262,1,0.0044,27,0.1179,25,0.1092,68,0.2969,58,0.2533,0,0,15,0.0655,14,0.0611,22,0.0961
263,900,2805,94,0.1044,3,0.0033,95,0.1056,60,0.0667,42,0.0467,34,0.0378,1,0.0011,2,0.0022,2,0.0022,20,0.0222,719,2485,1091,77,0.1071,2,0.0028,99,0.1377,40,0.0556,37,0.0515,32,0.0445,0,0,3,0.0042,7,0.0097,31,0.0431,211,466,275,20,0.0948,0,0,31,0.1469,18,0.0853,8,0.0379,10,0.0474,0,0,0,0,0,0,6,0.0284
264,446,1797,63,0.1413,1,0.0022,58,0.13,31,0.0695,42,0.0942,36,0.0807,0,0,6,0.0135,9,0.0202,31,0.0695,373,1662,865,40,0.1072,2,0.0054,37,0.0992,22,0.059,25,0.067,20,0.0536,0,0,3,0.008,3,0.008,15,0.0402,219,567,501,24,0.1096,0,0,43,0.1963,28,0.1279,7,0.032,3,0.0137,0,0,0,0,0,0,0,0
265,1433,5010,135,0.0942,13,0.0091,119,0.083,37,0.0258,63,0.044,87,0.0607,4,0.0028,17,0.0119,5,0.0035,42,0.0293,973,3925,1909,90,0.0925,3,0.0031,90,0.0925,29,0.0298,48,0.0493,46,0.0473,1,0.001,16,0.0164,6,0.0062,31,0.0319,616,2204,864,59,0.0958,1,0.0016,83,0.1347,32,0.0519,27,0.0438,15,0.0244,0,0,1,0.0016,1,0.0016,19,0.0308
266,686,1786,91,0.1327,30,0.0437,46,0.0671,26,0.0379,27,0.0394,43,0.0627,0,0,1,0.0015,1,0.0015,13,0.019,559,1585,815,86,0.1538,25,0.0447,44,0.0787,20,0.0358,25,0.0447,55,0.0984,0,0,2,0.0036,1,0.0018,16,0.0286,807,2580,1000,73,0.0905,0,0,115,0.1425,49,0.0607,43,0.0533,32,0.0397,0,0,2,0.0025,5,0.0062,20,0.0248
267,854,2883,124,0.1452,9,0.0105,98,0.1148,48,0.0562,52,0.0609,53,0.0621,4,0.0047,5,0.0059,0,0,23,0.0269,670,2283,1288,106,0.1582,8,0.0119,79,0.1179,38,0.0567,41,0.0612,50,0.0746,2,0.003,3,0.0045,2,0.003,19,0.0284,408,1636,957,36,0.0882,2,0.0049,52,0.1275,33,0.0809,32,0.0784,18,0.0441,0,0,2,0.0049,4,0.0098,19,0.0466
268,592,1194,57,0.0963,0,0,56,0.0946,29,0.049,53,0.0895,44,0.0743,0,0,5,0.0084,11,0.0186,26,0.0439,532,1085,452,57,0.1071,4,0.0075,36,0.0677,36,0.0677,65,0.1222,48,0.0902,1,0.0019,9,0.0169,14,0.0263,14,0.0263,1101,4223,2374,131,0.119,4,0.0036,118,0.1072,59,0.0536,51,0.0463,73,0.0663,2,0.0018,10,0.0091,5,0.0045,36,0.0327
269,370,845,40,0.1081,1,0.0027,37,0.1,15,0.0405,17,0.0459,30,0.0811,1,0.0027,2,0.0054,3,0.0081,17,0.0459,365,818,633,42,0.1151,5,0.0137,32,0.0877,13,0.0356,10,0.0274,20,0.0548,0,0,0,0,0,0,15,0.0411,615,1562,737,48,0.078,15,0.0244,38,0.0618,35,0.0569,49,0.0797,20,0.0325,0,0,1,0.0016,4,0.0065,14,0.0228
270,372,619,24,0.0645,0,0,10,0.0269,1,0.0027,15,0.0403,21,0.0565,0,0,1,0.0027,0,0,3,0.0081,368,756,143,25,0.0679,1,0.0027,10,0.0272,2,0.0054,12,0.0326,20,0.0543,0,0,1,0.0027,0,0,6,0.0163,1396,4917,3443,222,0.159,9,0.0064,207,0.1483,108,0.0774,79,0.0566,83,0.0595,7,0.005,2,0.0014,13,0.0093,41,0.0294
271,284,586,131,0.4613,0,0,48,0.169,40,0.1408,55,0.1937,118,0.4155,0,0,7,0.0246,13,0.0458,30,0.1056,283,585,997,122,0.4311,0,0,52,0.1837,53,0.1873,62,0.2191,113,0.3993,0,0,3,0.0106,16,0.0565,33,0.1166,767,2715,1452,117,0.1525,3,0.0039,76,0.0991,53,0.0691,43,0.0561,48,0.0626,0,0,2,0.0026,8,0.0104,18,0.0235
272,272,834,46,0.1691,1,0.0037,63,0.2316,24,0.0882,33,0.1213,32,0.1176,1,0.0037,2,0.0074,4,0.0147,19,0.0699,194,631,335,25,0.1289,0,0,20,0.1031,14,0.0722,8,0.0412,10,0.0515,0,0,0,0,2,0.0103,8,0.0412,24,69,66,8,0.3333,0,0,6,0.25,2,0.0833,1,0.0417,5,0.2083,0,0,0,0,0,0,1,0.0417
273,1191,3511,129,0.1083,8,0.0067,149,0.1251,60,0.0504,49,0.0411,63,0.0529,3,0.0025,4,0.0034,13,0.0109,54,0.0453,1096,3344,1565,104,0.0949,7,0.0064,143,0.1305,65,0.0593,56,0.0511,48,0.0438,1,0.0009,6,0.0055,11,0.01,41,0.0374,581,1211,521,59,0.1015,4,0.0069,40,0.0688,42,0.0723,73,0.1256,49,0.0843,2,0.0034,14,0.0241,18,0.031,19,0.0327
274,824,2257,113,0.1371,11,0.0133,154,0.1869,49,0.0595,48,0.0583,46,0.0558,2,0.0024,2,0.0024,3,0.0036,36,0.0437,772,1981,1401,96,0.1244,3,0.0039,144,0.1865,56,0.0725,32,0.0415,37,0.0479,1,0.0013,1,0.0013,4,0.0052,23,0.0298,384,814,698,45,0.1172,1,0.0026,44,0.1146,19,0.0495,17,0.0443,20,0.0521,1,0.0026,0,0,1,0.0026,10,0.026
275,1129,4514,182,0.1612,11,0.0097,168,0.1488,56,0.0496,70,0.062,75,0.0664,7,0.0062,13,0.0115,3,0.0027,40,0.0354,626,2253,1086,82,0.131,6,0.0096,75,0.1198,26,0.0415,42,0.0671,29,0.0463,2,0.0032,11,0.0176,6,0.0096,27,0.0431,428,872,126,30,0.0701,1,0.0023,12,0.028,3,0.007,20,0.0467,27,0.0631,1,0.0023,1,0.0023,1,0.0023,8,0.0187
276,731,2337,88,0.1204,5,0.0068,86,0.1176,37,0.0506,26,0.0356,32,0.0438,2,0.0027,5,0.0068,8,0.0109,18,0.0246,616,1888,786,50,0.0812,2,0.0032,63,0.1023,26,0.0422,16,0.026,24,0.039,0,0,0,0,7,0.0114,11,0.0179,266,564,1004,123,0.4624,0,0,50,0.188,54,0.203,61,0.2293,119,0.4474,0,0,6,0.0226,31,0.1165,36,0.1353
277,957,2899,90,0.094,2,0.0021,83,0.0867,38,0.0397,30,0.0313,52,0.0543,1,0.001,1,0.001,5,0.0052,21,0.0219,932,2926,806,117,0.1255,3,0.0032,69,0.074,39,0.0418,21,0.0225,85,0.0912,2,0.0021,2,0.0021,2,0.0021,20,0.0215,239,735,361,25,0.1046,0,0,28,0.1172,17,0.0711,11,0.046,16,0.0669,0,0,1,0.0042,1,0.0042,6,0.0251
278,346,746,24,0.0694,1,0.0029,43,0.1243,16,0.0462,19,0.0549,13,0.0376,0,0,4,0.0116,1,0.0029,18,0.052,268,628,328,25,0.0933,0,0,34,0.1269,29,0.1082,19,0.0709,17,0.0634,0,0,5,0.0187,1,0.0037,11,0.041,1006,2384,1437,98,0.0974,5,0.005,120,0.1193,78,0.0775,54,0.0537,43,0.0427,1,0.001,2,0.002,10,0.0099,25,0.0249
279,459,1402,70,0.1525,13,0.0283,73,0.159,32,0.0697,30,0.0654,29,0.0632,6,0.0131,3,0.0065,1,0.0022,7,0.0153,482,1738,1147,77,0.1598,4,0.0083,78,0.1618,36,0.0747,18,0.0373,36,0.0747,3,0.0062,2,0.0041,1,0.0021,9,0.0187,1023,3526,1743,134,0.131,8,0.0078,134,0.131,52,0.0508,64,0.0626,46,0.045,2,0.002,9,0.0088,5,0.0049,31,0.0303
280,336,993,29,0.0863,2,0.006,26,0.0774,15,0.0446,19,0.0565,11,0.0327,2,0.006,2,0.006,0,0,7,0.0208,268,692,279,27,0.1007,1,0.0037,34,0.1269,16,0.0597,13,0.0485,13,0.0485,0,0,0,0,0,0,8,0.0299,628,2099,899,58,0.0924,1,0.0016,64,0.1019,31,0.0494,23,0.0366,25,0.0398,1,0.0016,0,0,7,0.0111,15,0.0239
281,404,764,90,0.2228,1,0.0025,57,0.1411,31,0.0767,33,0.0817,81,0.2005,0,0,5,0.0124,12,0.0297,24,0.0594,366,741,664,83,0.2268,4,0.0109,65,0.1776,30,0.082,23,0.0628,78,0.2131,2,0.0055,1,0.0027,9,0.0246,34,0.0929,937,2633,821,86,0.0918,1,0.0011,79,0.0843,43,0.0459,22,0.0235,46,0.0491,1,0.0011,1,0.0011,7,0.0075,23,0.0245
282,1179,3854,188,0.1595,9,0.0076,141,0.1196,56,0.0475,76,0.0645,113,0.0958,4,0.0034,10,0.0085,3,0.0025,29,0.0246,999,3230,1867,156,0.1562,2,0.002,122,0.1221,71,0.0711,50,0.0501,99,0.0991,0,0,7,0.007,6,0.006,24,0.024,259,658,381,21,0.0811,0,0,47,0.1815,24,0.0927,26,0.1004,15,0.0579,0,0,4,0.0154,3,0.0116,14,0.0541
283,1852,3586,116,0.0626,2,0.0011,89,0.0481,36,0.0194,42,0.0227,57,0.0308,2,0.0011,2,0.0011,4,0.0022,18,0.0097,1422,3161,1255,101,0.071,4,0.0028,82,0.0577,29,0.0204,26,0.0183,43,0.0302,2,0.0014,4,0.0028,4,0.0028,11,0.0077,519,1905,1467,80,0.1541,5,0.0096,72,0.1387,75,0.1445,44,0.0848,43,0.0829,3,0.0058,2,0.0039,3,0.0058,11,0.0212
284,334,702,55,0.1647,1,0.003,37,0.1108,22,0.0659,23,0.0689,25,0.0749,0,0,2,0.006,4,0.012,14,0.0419,341,878,544,56,0.1642,3,0.0088,51,0.1496,29,0.085,27,0.0792,34,0.0997,1,0.0029,4,0.0117,4,0.0117,16,0.0469,271,829,319,27,0.0996,1,0.0037,40,0.1476,17,0.0627,14,0.0517,11,0.0406,0,0,0,0,0,0,12,0.0443
285,308,580,21,0.0682,3,0.0097,38,0.1234,20,0.0649,10,0.0325,14,0.0455,1,0.0032,1,0.0032,5,0.0162,10,0.0325,258,480,215,18,0.0698,2,0.0078,40,0.155,14,0.0543,6,0.0233,16,0.062,1,0.0039,1,0.0039,4,0.0155,10,0.0388,384,736,643,79,0.2057,3,0.0078,65,0.1693,27,0.0703,26,0.0677,76,0.1979,1,0.0026,6,0.0156,9,0.0234,29,0.0755
286,164,335,36,0.2195,2,0.0122,33,0.2012,21,0.128,19,0.1159,28,0.1707,2,0.0122,0,0,13,0.0793,18,0.1098,174,302,500,34,0.1954,1,0.0057,36,0.2069,20,0.1149,33,0.1897,29,0.1667,1,0.0057,4,0.023,10,0.0575,15,0.0862,1043,3392,2149,185,0.1774,0,0,134,0.1285,87,0.0834,58,0.0556,111,0.1064,0,0,8,0.0077,5,0.0048,32,0.0307
287,1125,2109,39,0.0347,3,0.0027,32,0.0284,10,0.0089,0,0,15,0.0133,2,0.0018,0,0,9,0.008,1,0.0009,928,2030,648,37,0.0399,0,0,43,0.0463,9,0.0097,1,0.0011,20,0.0216,0,0,0,0,9,0.0097,2,0.0022,1386,2899,1240,102,0.0736,3,0.0022,92,0.0664,43,0.031,29,0.0209,42,0.0303,1,0.0007,4,0.0029,8,0.0058,15,0.0108
288,27,32,5,0.1852,0,0,7,0.2593,1,0.037,0,0,5,0.1852,0,0,0,0,0,0,5,0.1852,21,24,19,6,0.2857,0,0,6,0.2857,1,0.0476,0,0,4,0.1905,0,0,0,0,0,0,3,0.1429,361,902,587,40,0.1108,1,0.0028,62,0.1717,51,0.1413,32,0.0886,20,0.0554,0,0,2,0.0055,3,0.0083,21,0.0582
289,1093,3169,73,0.0668,1,0.0009,117,0.107,36,0.0329,36,0.0329,22,0.0201,0,0,3,0.0027,0,0,31,0.0284,882,2438,953,73,0.0828,1,0.0011,99,0.1122,41,0.0465,38,0.0431,30,0.034,1,0.0011,0,0,0,0,23,0.0261,251,470,201,22,0.0876,0,0,35,0.1394,12,0.0478,13,0.0518,17,0.0677,0,0,1,0.004,2,0.008,10,0.0398
290,265,658,24,0.0906,2,0.0075,39,0.1472,15,0.0566,12,0.0453,15,0.0566,0,0,1,0.0038,2,0.0075,4,0.0151,244,615,247,17,0.0697,1,0.0041,38,0.1557,16,0.0656,13,0.0533,10,0.041,0,0,2,0.0082,2,0.0082,5,0.0205,161,329,500,32,0.1988,2,0.0124,21,0.1304,22,0.1366,45,0.2795,24,0.1491,2,0.0124,3,0.0186,7,0.0435,15,0.0932
291,380,1293,40,0.1053,1,0.0026,0,0,13,0.0342,7,0.0184,17,0.0447,1,0.0026,0,0,0,0,0,0,317,1049,523,34,0.1073,1,0.0032,6,0.0189,9,0.0284,5,0.0158,15,0.0473,0,0,3,0.0095,0,0,6,0.0189,716,1602,623,42,0.0587,1,0.0014,48,0.067,13,0.0182,4,0.0056,28,0.0391,0,0,1,0.0014,9,0.0126,1,0.0014
292,115,154,25,0.2174,0,0,11,0.0957,7,0.0609,19,0.1652,25,0.2174,0,0,5,0.0435,1,0.0087,8,0.0696,92,146,96,19,0.2065,0,0,8,0.087,3,0.0326,25,0.2717,19,0.2065,0,0,11,0.1196,0,0,7,0.0761,13,14,20,3,0.2308,0,0,2,0.1538,2,0.1538,0,0,0,0,0,0,0,0,0,0,1,0.0769
293,229,447,39,0.1703,1,0.0044,31,0.1354,11,0.048,7,0.0306,17,0.0742,0,0,0,0,0,0,6,0.0262,219,483,502,35,0.1598,1,0.0046,32,0.1461,12,0.0548,11,0.0502,15,0.0685,0,0,0,0,2,0.0091,5,0.0228,1037,2716,1069,95,0.0916,5,0.0048,101,0.0974,57,0.055,42,0.0405,42,0.0405,4,0.0039,0,0,2,0.0019,23,0.0222
294,204,387,34,0.1667,0,0,38,0.1863,25,0.1225,26,0.1275,32,0.1569,0,0,5,0.0245,11,0.0539,21,0.1029,237,526,642,39,0.1646,0,0,64,0.27,27,0.1139,38,0.1603,35,0.1477,0,0,8,0.0338,10,0.0422,38,0.1603,203,510,209,15,0.0739,0,0,29,0.1429,20,0.0985,12,0.0591,5,0.0246,0,0,1,0.0049,3,0.0148,3,0.0148
